kanji,onyomi,kunyomi,meaning
氏%@,shiシ%@,ujiうじ%@,"family name, surname, clan%@"
統%@,touトウ%@,su(beru)す(べる)%@,"ruling, governing%@"
基%@,kiキ%@,"moto, motoiもと、 もとい%@","fundamentals, counter for machines, foundation%@"
価%@,kaカ%@,ataiあたい%@,"value, price%@"
提%@,teiテイ%@,sa(geru)さ(げる)%@,"propose, take along, carry in hand%@"
挙%@,kyoキョ%@,"a(geru), kozo(ru)あ(げる)、 こぞ(る)%@","raise, plan, project, behavior, actions%@"
応%@,ouオウ%@,kota(eru)こた(える)%@,"apply, answer, yes, OK, reply, accept%@"
企%@,kiキ%@,"kuwada(teru), takura(mu)くわだ(てる)、 たくら(む)%@","undertake, scheme, design, attempt, plan%@"
検%@,kenケン%@,shira(beru)しら(べる)%@,"examination, investigate%@"
藤%@,touトウ%@,fujiふじ%@,wisteria%@
沢%@,takuタク%@,sawaさわ%@,"swamp, marsh, brilliance, grace%@"
裁%@,saiサイ%@,"ta(tsu), saba(ku)た(つ)、 さば(く)%@","tailor, judge, decision, cut out (pattern)%@"
証%@,shouショウ%@,akashiあかし%@,"evidence, proof, certificate%@"
援%@,enエン%@,%@,"abet, help, save%@"
可%@,kaカ%@,be(ki)べ(き)%@,"can, passable, mustn't, should not%@"
施%@,"shi, seシ、 セ%@",hodoko(su)ほどこ(す)%@,"give, bestow, perform, alms%@"
井%@,"sei, shouセイ、 ショウ%@",iい%@,"well, well crib, town, community%@"
護%@,goゴ%@,mamo(ru)まも(る)%@,"safeguard, protect%@"
展%@,tenテン%@,%@,"unfold, expand%@"
態%@,taiタイ%@,waza(to)わざ(と)%@,"attitude, condition%@"
鮮%@,senセン%@,aza(yaka)あざ(やか)%@,"fresh, vivid, clear%@"
視%@,shiシ%@,mi(ru)み(る)%@,"inspection, regard as, see, look at%@"
条%@,"jou, chou, dekiジョウ、 チョウ、 デキ%@","eda, sujiえだ、 すじ%@","article, clause, counter for articles%@"
幹%@,kanカン%@,mikiみき%@,"tree trunk, main part, talent, capability%@"
独%@,dokuドク%@,hito(ri)ひと(り)%@,"single, alone, spontaneously%@"
宮%@,"kyuu, guu, kuキュウ、 グウ、 ク%@",miyaみや%@,"Shinto shrine, constellations, palace, princess%@"
率%@,"sotsu, ritsuソツ、 リツ%@",hiki(iru)ひき(いる)%@,"ratio, rate, proportion, %, factor, lead%@"
衛%@,eiエイ%@,%@,"defense, protection%@"
張%@,chouチョウ%@,ha(ru)は(る)%@,"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)%@"
監%@,kanカン%@,%@,"oversee, official, govt office, rule, administer%@"
環%@,kanカン%@,waわ%@,"ring, circle, link, wheel%@"
審%@,shinシン%@,"tsumabi(raka), tsubusa(ni)つまび(らか)、 つぶさ(に)%@","hearing, judge, trial%@"
義%@,giギ%@,%@,"righteousness, justice, morality, honor, loyalty, meaning%@"
訴%@,soソ%@,utta(eru)うった(える)%@,"accusation, sue, complain of pain, appeal to%@"
株%@,shuシュ%@,kabuかぶ%@,"stocks, stump, shares, stock, counter for small plants%@"
姿%@,shiシ%@,sugataすがた%@,"figure, form, shape%@"
閣%@,kakuカク%@,%@,"tower, tall building, palace%@"
韓%@,kanカン%@,"kara, igetaから、 いげた%@",Korea%@
衆%@,"shuu, shuシュウ、 シュ%@",oo(i)おお(い)%@,"masses, great numbers, multitude, populace%@"
評%@,hyouヒョウ%@,%@,"evaluate, criticism, comment%@"
岡%@,kouコウ%@,okaおか%@,"mount, hill, knoll%@"
影%@,eiエイ%@,kageかげ%@,"shadow, silhouette, phantom%@"
松%@,shouショウ%@,matsuまつ%@,pine tree%@
撃%@,gekiゲキ%@,u(tsu)う(つ)%@,"beat, attack, defeat, conquer%@"
佐%@,saサ%@,%@,"assistant, help%@"
核%@,kakuカク%@,%@,"nucleus, core, kernel%@"
整%@,seiセイ%@,totono(eru)ととの(える)%@,"organize, arranging, tune, tone, meter, key (music)%@"
融%@,yuuユウ%@,to(keru)と(ける)%@,"dissolve, melt%@"
製%@,seiセイ%@,%@,"made in..., manufacture%@"
票%@,hyouヒョウ%@,%@,"ballot, label, ticket, sign%@"
渉%@,shouショウ%@,wata(ru)わた(る)%@,"ford, go cross, transit, ferry, import, involve%@"
響%@,kyouキョウ%@,hibi(ku)ひび(く)%@,"echo, sound, resound, ring, vibrate%@"
推%@,suiスイ%@,o(su)お(す)%@,"conjecture, infer, guess, suppose, support, push (for)%@"
請%@,"sei, shin, shouセイ、 シン、 ショウ%@","ko(u), u(keru)こ(う)、 う(ける)%@","solicit, invite, ask%@"
器%@,kiキ%@,utsuwaうつわ%@,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set%@"
士%@,shiシ%@,samuraiさむらい%@,"gentleman, scholar, samurai%@"
討%@,touトウ%@,u(tsu)う(つ)%@,"chastise, attack, defeat, destroy, conquer%@"
攻%@,kouコウ%@,se(meru)せ(める)%@,"aggression, attack, criticize, polish%@"
崎%@,kiキ%@,"saki, sai, misakiさき、 さい、 みさき%@","promontory, cape, spit%@"
督%@,tokuトク%@,%@,"coach, command, urge, lead, supervise%@"
授%@,juジュ%@,sazu(keru)さず(ける)%@,"impart, instruct, grant, confer%@"
催%@,saiサイ%@,"moyou(su), moyoo(su)もよう(す)、 もよお(す)%@","sponsor, hold (a meeting), give (a dinner)%@"
及%@,kyuuキュウ%@,"oyo(bu), oyobiおよ(ぶ)、 および%@","reach out, exert, exercise, cause%@"
憲%@,kenケン%@,%@,"constitution, law%@"
離%@,riリ%@,hana(reru)はな(れる)%@,"detach, separation, disjoin, digress%@"
激%@,gekiゲキ%@,hage(shii)はげ(しい)%@,"violent, get excited, enraged, chafe, incite%@"
摘%@,tekiテキ%@,tsu(mu)つ(む)%@,"pinch, pick, pluck, trim, clip, summarize%@"
系%@,keiケイ%@,%@,"lineage, system%@"
批%@,hiヒ%@,%@,"criticism, strike%@"
郎%@,rouロウ、 リョウ%@,otokoおとこ%@,"son, counter for sons%@"
健%@,kenケン%@,suko(yaka)すこ(やか)%@,"healthy, health, strength, persistence%@"
従%@,"juu, shou, juジュウ、 ショウ、 ジュ%@","shitaga(u), yoriしたが(う)、 より%@","accompany, obey, submit to, comply, follow, secondary, incidental, subordinate%@"
修%@,"shuu, shuシュウ、 シュ%@",osa(meru)おさ(める)%@,"discipline, conduct oneself well, study, master%@"
隊%@,taiタイ%@,%@,"regiment, party, company, squad%@"
織%@,"shoku, shikiショク、 シキ%@","o(ru), ori, -ori, -o(ri)お(る)、 おり、 -おり、 -お(り)%@","weave, fabric%@"
拡%@,"kaku, kouカク、 コウ%@",hiro(garu)ひろ(がる)%@,"broaden, extend, expand, enlarge%@"
故%@,koコ%@,"yue, furu(i), motoゆえ、 ふる(い)、 もと%@","happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore%@"
振%@,shinシン%@,fu(ru)ふ(る)%@,"shake, wave, wag, swing%@"
弁%@,"ben, henベン、 ヘン%@","kanmuri, wakima(eru), wa(keru), hanabiraかんむり、 わきま(える)、 わ(ける)、 はなびら%@","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap%@"
就%@,"shuu, juシュウ、 ジュ%@",tsu(ku)つ(く)%@,"concerning, settle, take position, depart, study, per%@"
異%@,iイ%@,"koto, koto(naru), keこと、 こと(なる)、 け%@","uncommon, different, queerness, strangeness, wonderful, curious, unusual%@"
献%@,"ken, konケン、 コン%@",tatematsu(ru)たてまつ(る)%@,"offering, counter for drinks, present, offer%@"
厳%@,"gen, gonゲン、 ゴン%@","ogoso(ka), kibi(shii), ika(meshii), itsukushiおごそ(か)、 きび(しい)、 いか(めしい)、 いつくし%@","stern, strictness, severity, rigidity%@"
維%@,iイ%@,%@,"fiber, tie, rope%@"
浜%@,hinヒン%@,hamaはま%@,"seacoast, beach, seashore%@"
遺%@,"i, yuiイ、 ユイ%@",noko(su)のこ(す)%@,"bequeath, leave behind, reserve%@"
塁%@,"rui, rai, suiルイ、 ライ、 スイ%@",torideとりで%@,"bases, fort, rampart, walls, base(ball)%@"
邦%@,houホウ%@,kuniくに%@,"home country, country, Japan%@"
素%@,"so, suソ、 ス%@",motoもと%@,"elementary, principle, naked, uncovered%@"
遣%@,kenケン%@,"tsuka(u), -tsuka(i), -dzuka(i), ya(ru)つか(う)、 -つか(い)、 -づか(い)、 や(る)%@","dispatch, despatch, send, give, donate, do, undertake%@"
抗%@,kouコウ%@,araga(u)あらが(う)%@,"confront, resist, defy, oppose%@"
模%@,"mo, boモ、 ボ%@",%@,"imitation, copy, mock%@"
雄%@,yuuユウ%@,"o-, osu, onお-、 おす、 おん%@","masculine, male, hero, leader, superiority, excellence%@"
益%@,"eki, yakuエキ、ヤク%@",ma(su)ま(す)%@,"benefit, gain, profit, advantage%@"
緊%@,kinキン%@,shi(meru)し(める)%@,"tense, solid, hard, reliable, tight%@"
標%@,hyouヒョウ%@,"shirube, shirushiしるべ、 しるし%@","signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir%@"
宣%@,senセン%@,notama(u)のたま(う)%@,"proclaim, say, announce%@"
昭%@,shouショウ%@,%@,"shining, bright%@"
廃%@,haiハイ%@,suta(reru)すた(れる)%@,"abolish, obsolete, cessation, discarding, abandon%@"
伊%@,iイ%@,kareかれ%@,"Italy, that one%@"
江%@,kouコウ%@,eえ%@,"creek, inlet, bay%@"
僚%@,ryouリョウ%@,%@,"colleague, official, companion%@"
吉%@,"kichi, kitsuキチ、 キツ%@",yoshiよし%@,"good luck, joy, congratulations%@"
盛%@,"sei, jouセイ、 ジョウ%@","mo(ru), saka(ru)も(る)、 さか(る)%@","boom, prosper, copulate%@"
皇%@,"kou, ouコウ、 オウ%@",%@,emperor%@
臨%@,rinリン%@,nozo(mu)のぞ(む)%@,"look to, face, meet, confront, attend, call on%@"
踏%@,touトウ%@,fu(mu)ふ(む)%@,"step, trample, carry through, appraise, evade payment%@"
壊%@,"kai, eカイ、 エ%@","kowa(su), yabu(ru)こわ(す)、 やぶ(る)%@","demolition, break, destroy%@"
債%@,saiサイ%@,%@,"bond, loan, debt%@"
興%@,"kou, kyouコウ、 キョウ%@",oko(su)おこ(る)%@,"entertain, revive, retrieve, interest, pleasure%@"
源%@,genゲン%@,minamotoみなもと%@,"source, origin%@"
儀%@,giギ%@,%@,"ceremony, rule, affair, case, a matter%@"
創%@,"sou, shouソウ、 ショウ%@","tsuku(ru), haji(meru), kizu, kezu(shikeru)つく(る)、 はじ(める)、 きず、 けず(しける)%@","genesis, wound, injury, hurt, start, originate%@"
障%@,shouショウ%@,sawa(ru)さわ(る)%@,"hinder, hurt, harm%@"
継%@,keiケイ%@,"tsu(gu), mama-つ(ぐ)、 まま-%@","inherit, succeed, continue, patch, graft (tree)%@"
筋%@,kinキン%@,sujiすじ%@,"muscle, sinew, tendon, fiber, plot, plan, descent%@"
狙%@,"so, shoソ、 ショ%@",nera(u)ねら(う)%@,"aim at, sight, shadow, stalk%@"
闘%@,touトウ%@,"tataka(u), araso(u)たたか(う)、 あらそ(う)%@","fight, war%@"
葬%@,souソウ%@,houmu(ru)ほうむ(る)%@,"interment, bury, shelve%@"
避%@,hiヒ%@,"sa(keru), yo(keru)さ(ける)、 よ(ける)%@","evade, avoid, avert, ward off, shirk, shun%@"
司%@,shiシ%@,tsukasado(ru)つかさど(る)%@,"director, official, govt office, rule, administer%@"
康%@,kouコウ%@,%@,"ease, peace%@"
善%@,zenゼン%@,"yo(i), i(i), yoshi(tosuru)よ(い)、 い(い)、 よし(とする)%@","virtuous, good, goodness%@"
逮%@,taiタイ%@,%@,"apprehend, chase%@"
迫%@,hakuハク%@,sema(aru)せま(る)%@,"urge, force, imminent, spur on%@"
惑%@,wakuワク%@,mado(u)まど(う)%@,"beguile, delusion, perplexity%@"
崩%@,houホウ%@,"kuzu(reru), -kuzu(re)くず(れる)、 -くず(れ)%@","crumble, die, demolish, level%@"
紀%@,kiキ%@,%@,"chronicle, account, narrative, history, annals, geologic period%@"
聴%@,"chou, teiチョウ、 テイ%@","ki(ku), yuru(su)き(く)、 ゆる(す)%@","listen, headstrong, naughty, careful inquiry%@"
脱%@,datsuダツ%@,nu(gu)ぬ(ぐ)%@,"undress, removing, escape from, get rid of, be left out, take off%@"
級%@,kyuuキュウ%@,%@,"class, rank, grade%@"
博%@,"haku, bakuハク、バク%@",%@,"Dr., command, esteem, Ph.D.%@"
締%@,teiテイ%@,"shi(maru), -shi(me), -ji(me)し(まる)、 -し(め)、 -じ(め)%@","tighten, tie, shut, lock, fasten%@"
救%@,kyuuキュウ%@,suku(u)すく(う)%@,"salvation, save, help, rescue, reclaim%@"
執%@,"shitsu, shuuシツ、 シュウ%@",to(ru)と(る)%@,"tenacious, take hold, grasp, take to heart%@"
房%@,bouボウ%@,fusaふさ%@,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room%@"
撤%@,tetsuテツ%@,%@,"remove, withdraw, disarm, dismantle, reject, exclude%@"
削%@,sakuサク%@,"kezu(ru), hatsu(ru), so(gu)けず(る)、 はつ(る)、 そ(ぐ)%@","plane, sharpen, whittle, pare, shave%@"
密%@,mitsuミツ%@,hiso(ka)ひそ(か)%@,"secrecy, density (pop), minuteness, carefulness%@"
措%@,soソ%@,o(ku)お(く)%@,"set aside, give up, suspend, discontinue, lay aside, except%@"
志%@,shiシ%@,"kokoroza(su), kokorozashiこころざ(す)、 こころざし%@","intention, plan, resolve, aspire, motive, hopes, shilling%@"
載%@,saiサイ%@,no(seru)の(せる)%@,"ride, board, get on, place, spread, 10**44, record, publish%@"
陣%@,jinジン%@,%@,"camp, battle array, ranks, position, sudden, brief time%@"
我%@,gaガ%@,"ware, wa, wa(ga)-, waga-われ、 わ、 わ(が)-、 わが-%@","ego, I, selfish, our, oneself%@"
為%@,iイ%@,"tame, na(ru), su(ru), tari, tsuku(ru), nariため、 な(る)、 す(る)、 たり、 つく(る)、 なり%@","do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good%@"
抑%@,yokuヨク%@,osa(eru)おさ(える)%@,"repress, well, now, in the first place, push, shove, press, seal, do in spite of%@"
幕%@,"maku, bakuマク、 バク%@",tobariとばり%@,"curtain, bunting, act of play%@"
染%@,senセン%@,"so(meru), shi(meru)そ(める)、 し(みる)%@","dye, color, paint, stain, print%@"
奈%@,"na, nai, daiナ、 ナイ、 ダイ%@","ikan, karanashiいかん、 からなし%@","Nara, what?%@"
傷%@,shouショウ%@,"kizu, ita(mu)きず、 いた(む)%@","wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point%@"
択%@,takuタク%@,era(bu)えら(ぶ)%@,"choose, select, elect, prefer%@"
秀%@,shuuシュウ%@,hii(deru)ひい(でる)%@,"excel, excellence, beauty, surpass%@"
徴%@,"chou, chiチョウ、 チ%@",shirushiしるし%@,"indications, sign, omen, symptom, collect, seek, refer to, question%@"
弾%@,"dan, tanダン、 タン%@","hi(ku), -hi(ki), hazu(mu), tama, haji(ku)ひ(く)、 -ひ(き)、 はず(む)、 たま、 はじ(く)%@","bullet, twang, flip, snap%@"
償%@,shouショウ%@,tsuguna(u)つぐな(う)%@,"reparation, make up for, recompense, redeem%@"
功%@,"kou, koコウ、 ク%@",isaoいさお%@,"achievement, merits, success, honor, credit%@"
拠%@,"kyo, koキョ、 コ%@",yo(ru)よ(る)%@,"foothold, based on, follow, therefore%@"
秘%@,hiヒ%@,"hi(meru), hiso(ka), kaku(su)ひ(める)、 ひそ(か)、 かく(す)%@","secret, conceal%@"
拒%@,"kyo, goキョ、 ゴ%@",koba(mu)こば(む)%@,"repel, refuse, reject, decline%@"
刑%@,keiケイ%@,%@,"punish, penalty, sentence, punishment%@"
塚%@,chouチョウ%@,"tsuka, -dzukaつか、 -づか%@","hillock, mound%@"
致%@,chiチ%@,ita(su)いた(す)%@,"doth, do, send, forward, cause, exert, incur, engage%@"
繰%@,souソウ%@,ku(ru)く(る)%@,"winding, reel, spin, turn (pages), look up, refer to%@"
尾%@,biビ%@,oお%@,"tail, end, counter for fish, lower slope of mountain%@"
描%@,byouビョウ%@,"ega(ku), ka(ku)えが(く)、 か(く)%@","sketch, compose, write, draw, paint%@"
鈴%@,"rei, rinレイ、 リン%@",suzuすず%@,"small bell, buzzer%@"
盤%@,banバン%@,%@,"tray, shallow bowl, platter, tub, board, phonograph record%@"
項%@,kouコウ%@,unajiうなじ%@,"paragraph, nape of neck, clause, item, term (expression)%@"
喪%@,souソウ%@,moも%@,"miss, mourning%@"
伴%@,"han, banハン、 バン%@",tomona(u)ともな(う)%@,"consort, accompany, bring with, companion%@"
養%@,"you, ryouヨウ、 リョウ%@",yashina(u)やしな(う)%@,"foster, bring up, rear, develop, nurture%@"
懸%@,"ken, keケン、 ケ%@",ka(keru)か(ける)%@,"state of suspension, hang, depend, consult, distant, far apart%@"
街%@,"gai, kaiガイ、 カイ%@",machiまち%@,"boulevard, street, town%@"
契%@,keiケイ%@,chigi(ru)ちぎ(る)%@,"pledge, promise, vow%@"
掲%@,keiケイ%@,kaka(geru)かか(げる)%@,"put up (a notice), put up, hoist, display, hang out, publish, describe%@"
躍%@,yakuヤク%@,odo(ru)おど(る)%@,"leap, dance, skip%@"
棄%@,kiキ%@,su(teru)す(てる)%@,"abandon, throw away, discard, resign, reject, sacrifice%@"
邸%@,teiテイ%@,yashikiやしき%@,"residence, mansion%@"
縮%@,shukuシュク%@,chidji(mu)ちぢ(む)%@,"shrink, contract, shrivel, wrinkle, reduce%@"
還%@,kanカン%@,kae(ru)かえ(る)%@,"send back, return%@"
属%@,"zoku, shokuゾク、 ショク%@","sakan, tsuku, yakaraさかん、 つく、 やから%@","belong, genus, subordinate official, affiliated%@"
慮%@,ryoリョ%@,omonpaku(ru)おもんぱく(る)%@,"prudence, thought, concern, consider, deliberate, fear%@"
枠%@,%@,wakuわく%@,"frame, framework, spindle, spool, bounding-box%@"
